,_id,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
179,180,2282,中壢仁德公園,22,4,中壢區,20240715205116,24.953347,121.266529,崁頂路崁頂路1401巷口旁人行道,Zhongli Dist.,Zhongli Rende Park,"Ln. 1401, Kanding Rd./Kanding Rd.",18,1
180,181,2283,僑愛停車場,30,0,大溪區,20240715205144,24.92191586,121.2937846,僑愛一街46巷11號東南側停車場,Daxi Dist.,Qiao'ai Parking lot,"No. 11, Ln. 46, Qiaoaiyi St. (Southeast)",30,1
181,182,2284,龍慈龍和三街口,10,4,中壢區,20240715205135,24.940105,121.243768,龍慈路與龍和三街旁路側,Zhongli Dist.,Longci &amp; Longhe 3rd st. Intersection,Longcih Rd./Longhe 3rd St.,5,1
182,183,2285,功學社新村,10,2,中壢區,20240715205140,24.954249,121.256356,功學路156號前方空地,Zhongli Dist.,Gongxueshexincun,"No.156, Gongxue Rd.",5,1
183,184,2286,六和兒童公園,6,4,中壢區,20240715205128,24.963642,121.224583,六和路55號對面公園,Zhongli Dist.,Liuhe Children's Park,"No.55, Liouhe Rd.(opposite)",2,1
184,185,2287,海湖農會,14,4,蘆竹區,20240715205145,25.101066,121.263396,海湖東路77號旁空地,Luzhu Dist.,Haihu Farmers' Association,"No.77, Haihu E. Rd.",7,1
185,186,2288,龍潭區衛生所,24,4,龍潭區,20240715205125,24.863704,121.216174,中正路210號對面路側,Longtan Dist.,Public Health Center of Longtan Dist.,"No.210, Zhongzheng Rd.(opposite)",19,1
186,187,2289,台北榮民總醫院桃園分院,12,0,桃園區,20240715205122,25.002531,121.323988,成功路三段三聖路口旁人行道,Taoyuan Dist.,Taipei Veterans General Hospital Taoyuan Branch,"Sec. 3, Chenggong Rd./Sansheng Rd.",12,1
187,188,2290,大竹游泳池,30,4,蘆竹區,20240715205119,25.021193,121.257617,大新一街115號旁空地,Luzhu Dist.,Dazhu Swimming Pool,"No.115, Daxin 1st St.",24,1
188,189,2295,山頂里集會所,8,0,龜山區,20240715205145,24.986224,121.33042,明興街36號旁人行道及路側,Guishan Dist.,Shanding Activity Center,"No.36, Mingsing St.",8,1
189,190,2296,臻愛家社區,8,6,龜山區,20240715205125,24.987167,121.324152,建國東路31號旁人行道,Guishan Dist.,ZhenAiJia Community,"No.31, Jianguo E. Rd.",2,1
